CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,585,565,
23,2,972,952,
46,3,992,972,
69,4,633,613,
92,5,827,807,
115,6,306,286,
138,7,422,402,
161,8,615,595,
184,9,695,675,
207,10,702,682,
230,11,942,922,
253,12,969,949,
276,13,955,935,
299,14,764,744,
322,15,589,569,
345,16,103,83,
368,17,364,344,
391,18,346,326,
414,19,271,251,
437,1,565,545,
460,2,952,932,
483,3,972,952,
506,4,613,593,
529,5,807,787,
552,6,286,266,
575,7,402,382,
598,8,595,575,
621,9,675,655,
644,10,682,662,
667,11,922,902,
690,12,949,929,
713,13,935,915,
736,14,744,724,
759,15,569,549,
782,16,83,63,
805,17,344,324,
828,18,326,306,
851,19,251,231,
874,1,545,525,
897,2,932,912,
920,3,952,932,
943,4,593,573,
966,5,787,767,
989,6,266,246,
1012,7,382,362,
1035,8,575,555,
1058,9,655,635,
1081,10,662,642,
1104,11,902,882,
1127,12,929,909,
1150,13,915,895,
1173,14,724,704,
1196,15,549,529,
1219,16,63,43,
1242,17,324,304,
1265,18,306,286,
1288,19,231,211,
1311,1,525,505,
1334,2,912,892,
1357,3,932,912,
1380,4,573,553,
1403,5,767,747,
1426,6,246,226,
1449,7,362,342,
1472,8,555,535,
1495,9,635,615,
1518,10,642,622,
1541,11,882,862,
1564,12,909,889,
1587,13,895,875,
1610,14,704,684,
1633,15,529,509,
1656,16,43,23,
1679,17,304,284,
1702,18,286,266,
1725,19,211,191,
1748,1,505,485,
1771,2,892,872,
1794,3,912,892,
1817,4,553,533,
1840,5,747,727,
1863,6,226,206,
1886,7,342,322,
1909,8,535,515,
1932,9,615,595,
1955,10,622,602,
1978,11,862,842,
2001,12,889,869,
2024,13,875,855,
2047,14,684,664,
2070,15,509,489,
2093,16,23,3,
2116,17,284,264,
2139,18,266,246,
2162,19,191,171,
2185,1,485,465,
2208,2,872,852,
2231,3,892,872,
2254,4,533,513,
2277,5,727,707,
2300,6,206,186,
2323,7,322,302,
2346,8,515,495,
2369,9,595,575,
2392,10,602,582,
2415,11,842,822,
2438,12,869,849,
2461,13,855,835,
2484,14,664,644,
2507,15,489,469,
2530,16,3,0,2533
2536,17,264,244,
2559,18,246,226,
2582,19,171,151,
2605,1,465,445,
2628,2,852,832,
2651,3,872,852,
2674,4,513,493,
2697,5,707,687,
2720,6,186,166,
2743,7,302,282,
2766,8,495,475,
2789,9,575,555,
2812,10,582,562,
2835,11,822,802,
2858,12,849,829,
2881,13,835,815,
2904,14,644,624,
2927,15,469,449,
2950,17,244,224,
2973,18,226,206,
2996,19,151,131,
3019,1,445,425,
3042,2,832,812,
3065,3,852,832,
3088,4,493,473,
3111,5,687,667,
3134,6,166,146,
3157,7,282,262,
3180,8,475,455,
3203,9,555,535,
3226,10,562,542,
3249,11,802,782,
3272,12,829,809,
3295,13,815,795,
3318,14,624,604,
3341,15,449,429,
3364,17,224,204,
3387,18,206,186,
3410,19,131,111,
3433,1,425,405,
3456,2,812,792,
3479,3,832,812,
3502,4,473,453,
3525,5,667,647,
3548,6,146,126,
3571,7,262,242,
3594,8,455,435,
3617,9,535,515,
3640,10,542,522,
3663,11,782,762,
3686,12,809,789,
3709,13,795,775,
3732,14,604,584,
3755,15,429,409,
3778,17,204,184,
3801,18,186,166,
3824,19,111,91,
3847,1,405,385,
3870,2,792,772,
3893,3,812,792,
