CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,15,589,549,
43,4,633,593,
86,8,615,575,
129,14,764,724,
172,7,422,382,
215,7,382,342,
258,13,955,915,
301,6,306,266,
344,17,364,324,
387,8,575,535,
430,1,585,545,
473,14,724,684,
516,15,549,509,
559,12,969,929,
602,13,915,875,
645,13,875,835,
688,2,972,932,
731,10,702,662,
774,7,342,302,
817,18,346,306,
860,7,302,262,
903,15,509,469,
946,1,545,505,
989,4,593,553,
1032,10,662,622,
1075,2,932,892,
1118,4,553,513,
1161,10,622,582,
1204,17,324,284,
1247,14,684,644,
1290,14,644,604,
1333,8,535,495,
1376,1,505,465,
1419,10,582,542,
1462,2,892,852,
1505,1,465,425,
1548,7,262,222,
1591,4,513,473,
1634,3,992,952,
1677,15,469,429,
1720,17,284,244,
1763,1,425,385,
1806,18,306,266,
1849,8,495,455,
1892,6,266,226,
1935,17,244,204,
1978,5,827,787,
2021,17,204,164,
2064,8,455,415,
2107,6,226,186,
2150,11,942,902,
2193,8,415,375,
2236,4,473,433,
2279,18,266,226,
2322,18,226,186,
2365,14,604,564,
2408,19,271,231,
2451,11,902,862,
2494,19,231,191,
2537,5,787,747,
2580,8,375,335,
2623,6,186,146,
2666,18,186,146,
2709,15,429,389,
2752,8,335,295,
2795,17,164,124,
2838,7,222,182,
2881,8,295,255,
2924,17,124,84,
2967,5,747,707,
3010,2,852,812,
3053,12,929,889,
3096,7,182,142,
3139,18,146,106,
3182,7,142,102,
3225,7,102,62,
3268,5,707,667,
3311,11,862,822,
3354,2,812,772,
3397,11,822,782,
3440,11,782,742,
3483,1,385,345,
3526,1,345,305,
3569,8,255,215,
3612,11,742,702,
3655,14,564,524,
3698,12,889,849,
3741,17,84,44,
3784,17,44,4,
3827,17,4,0,3831
3834,7,62,22,
3877,11,702,662,
3920,7,22,0,3942
3945,14,524,484,
3988,14,484,444,
4031,13,835,795,
4074,11,662,622,
4117,3,952,912,
4160,14,444,404,
4203,11,622,582,
4246,11,582,542,
4289,15,389,349,
4332,16,103,63,
4375,6,146,106,
4418,3,912,872,
4461,5,667,627,
4504,6,106,66,
4547,8,215,175,
4590,15,349,309,
4633,11,542,502,
4676,9,695,655,
4719,19,191,151,
4762,3,872,832,
4805,2,772,732,
4848,8,175,135,
4891,11,502,462,
4934,8,135,95,
4977,15,309,269,
5020,14,404,364,
5063,11,462,422,
5106,4,433,393,
5149,11,422,382,
5192,2,732,692,
5235,8,95,55,
5278,11,382,342,
5321,19,151,111,
5364,2,692,652,
5407,15,269,229,
5450,16,63,23,
5493,4,393,353,
5536,5,627,587,
5579,19,111,71,
5622,18,106,66,
5665,15,229,189,
5708,8,55,15,
5751,14,364,324,
5794,8,15,0,5809
5812,2,652,612,
5855,19,71,31,
5898,19,31,0,5929
5932,11,342,302,
5975,5,587,547,
6018,14,324,284,
6061,6,66,26,
6104,6,26,0,6130
6133,11,302,262,
6176,11,262,222,
6219,13,795,755,
6262,3,832,792,
6305,15,189,149,
6348,15,149,109,
6391,18,66,26,
6434,2,612,572,
6477,16,23,0,6500
6503,11,222,182,
6546,14,284,244,
6589,11,182,142,
6632,5,547,507,
6675,13,755,715,
6718,10,542,502,
6761,15,109,69,
6804,12,849,809,
6847,11,142,102,
6890,4,353,313,
6933,1,305,265,
6976,2,572,532,
7019,11,102,62,
7062,12,809,769,
7105,14,244,204,
7148,5,507,467,
7191,2,532,492,
7234,10,502,462,
7277,18,26,0,7303
7306,11,62,22,
7349,5,467,427,
7392,5,427,387,
7435,2,492,452,
7478,4,313,273,
7521,4,273,233,
7564,2,452,412,
7607,15,69,29,
7650,4,233,193,
7693,9,655,615,
7736,2,412,372,
7779,14,204,164,
7822,2,372,332,
7865,13,715,675,
7908,4,193,153,
7951,1,265,225,
7994,11,22,0,8016
8019,2,332,292,
8062,12,769,729,
8105,5,387,347,
8148,3,792,752,
8191,2,292,252,
8234,9,615,575,
8277,2,252,212,
8320,2,212,172,
8363,15,29,0,8392
8395,5,347,307,
8438,5,307,267,
8481,4,153,113,
8524,3,752,712,
8567,5,267,227,
8610,4,113,73,
8653,4,73,33,
8696,4,33,0,8729
8732,5,227,187,
8775,14,164,124,
8818,12,729,689,
8861,2,172,132,
8904,2,132,92,
8947,2,92,52,
8990,5,187,147,
9033,1,225,185,
9076,3,712,672,
9119,5,147,107,
9162,2,52,12,
9205,12,689,649,
9248,14,124,84,
9291,5,107,67,
9334,3,672,632,
9377,10,462,422,
9420,5,67,27,
9463,2,12,0,9475
9478,5,27,0,9505
9508,12,649,609,
9551,12,609,569,
9594,10,422,382,
9637,14,84,44,
9680,3,632,592,
9723,14,44,4,
9766,1,185,145,
9809,3,592,552,
9852,1,145,105,
9895,12,569,529,
9938,1,105,65,
9981,10,382,342,
10024,3,552,512,
10067,1,65,25,
10110,10,342,302,
10153,10,302,262,
10196,14,4,0,10200
10203,10,262,222,
10246,13,675,635,
10289,13,635,595,
10332,13,595,555,
10375,13,555,515,
10418,13,515,475,
10461,12,529,489,
10504,13,475,435,
10547,12,489,449,
10590,13,435,395,
10633,1,25,0,10658
10661,10,222,182,
10704,3,512,472,
10747,3,472,432,
10790,12,449,409,
10833,9,575,535,
10876,10,182,142,
10919,3,432,392,
10962,3,392,352,
11005,13,395,355,
11048,12,409,369,
11091,12,369,329,
11134,12,329,289,
11177,3,352,312,
11220,12,289,249,
11263,12,249,209,
11306,12,209,169,
11349,13,355,315,
11392,12,169,129,
11435,10,142,102,
11478,10,102,62,
11521,13,315,275,
11564,12,129,89,
11607,10,62,22,
11650,13,275,235,
11693,13,235,195,
11736,13,195,155,
11779,10,22,0,11801
11804,3,312,272,
11847,12,89,49,
11890,13,155,115,
11933,12,49,9,
11976,3,272,232,
12019,13,115,75,
12062,12,9,0,12071
12074,3,232,192,
12117,13,75,35,
12160,9,535,495,
12203,3,192,152,
12246,3,152,112,
12289,13,35,0,12324
12327,3,112,72,
12370,3,72,32,
12413,9,495,455,
12456,3,32,0,12488
12491,9,455,415,
12534,9,415,375,
12577,9,375,335,
12620,9,335,295,
12663,9,295,255,
12706,9,255,215,
12749,9,215,175,
12792,9,175,135,
12835,9,135,95,
12878,9,95,55,
12921,9,55,15,
12964,9,15,0,12979
AverageTurnaroundTime: ,8741.2
