CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,596,576,
23,2,222,202,
46,3,123,103,
69,4,209,189,
92,5,609,589,
115,6,814,794,
138,7,204,184,
161,8,308,288,
184,9,333,313,
207,1,576,556,
230,2,202,182,
253,3,103,83,
276,4,189,169,
299,5,589,569,
322,6,794,774,
345,7,184,164,
368,8,288,268,
391,9,313,293,
414,1,556,536,
437,2,182,162,
460,3,83,63,
483,4,169,149,
506,5,569,549,
529,6,774,754,
552,7,164,144,
575,8,268,248,
598,9,293,273,
621,1,536,516,
644,2,162,142,
667,3,63,43,
690,4,149,129,
713,5,549,529,
736,6,754,734,
759,7,144,124,
782,8,248,228,
805,9,273,253,
828,1,516,496,
851,2,142,122,
874,3,43,23,
897,4,129,109,
920,5,529,509,
943,6,734,714,
966,7,124,104,
989,8,228,208,
1012,9,253,233,
1035,1,496,476,
1058,2,122,102,
1081,3,23,3,
1104,4,109,89,
1127,5,509,489,
1150,6,714,694,
1173,7,104,84,
1196,8,208,188,
1219,9,233,213,
1242,1,476,456,
1265,2,102,82,
1288,3,3,0,1291
1294,4,89,69,
1317,5,489,469,
1340,6,694,674,
1363,7,84,64,
1386,8,188,168,
1409,9,213,193,
1432,1,456,436,
1455,2,82,62,
1478,4,69,49,
1501,5,469,449,
1524,6,674,654,
1547,7,64,44,
1570,8,168,148,
1593,9,193,173,
1616,1,436,416,
1639,2,62,42,
1662,4,49,29,
1685,5,449,429,
1708,6,654,634,
1731,7,44,24,
1754,8,148,128,
1777,9,173,153,
1800,1,416,396,
1823,2,42,22,
1846,4,29,9,
1869,5,429,409,
1892,6,634,614,
1915,7,24,4,
1938,8,128,108,
1961,9,153,133,
1984,1,396,376,
2007,2,22,2,
2030,4,9,0,2039
2042,5,409,389,
2065,6,614,594,
2088,7,4,0,2092
2095,8,108,88,
2118,9,133,113,
2141,1,376,356,
2164,2,2,0,2166
2169,5,389,369,
2192,6,594,574,
2215,8,88,68,
2238,9,113,93,
2261,1,356,336,
2284,5,369,349,
2307,6,574,554,
2330,8,68,48,
2353,9,93,73,
2376,1,336,316,
2399,5,349,329,
2422,6,554,534,
2445,8,48,28,
2468,9,73,53,
2491,1,316,296,
2514,5,329,309,
2537,6,534,514,
2560,8,28,8,
2583,9,53,33,
2606,1,296,276,
2629,5,309,289,
2652,6,514,494,
2675,8,8,0,2683
2686,9,33,13,
2709,1,276,256,
2732,5,289,269,
2755,6,494,474,
2778,9,13,0,2791
2794,1,256,236,
2817,5,269,249,
2840,6,474,454,
2863,1,236,216,
2886,5,249,229,
2909,6,454,434,
2932,1,216,196,
2955,5,229,209,
2978,6,434,414,
3001,1,196,176,
3024,5,209,189,
3047,6,414,394,
3070,1,176,156,
3093,5,189,169,
3116,6,394,374,
3139,1,156,136,
3162,5,169,149,
3185,6,374,354,
3208,1,136,116,
3231,5,149,129,
3254,6,354,334,
3277,1,116,96,
3300,5,129,109,
3323,6,334,314,
3346,1,96,76,
3369,5,109,89,
3392,6,314,294,
3415,1,76,56,
3438,5,89,69,
3461,6,294,274,
3484,1,56,36,
3507,5,69,49,
3530,6,274,254,
3553,1,36,16,
3576,5,49,29,
3599,6,254,234,
3622,1,16,0,3638
3641,5,29,9,
3664,6,234,214,
3687,5,9,0,3696
3699,6,214,194,
3722,6,194,174,
3745,6,174,154,
3768,6,154,134,
3791,6,134,114,
3814,6,114,94,
3837,6,94,74,
3860,6,74,54,
3883,6,54,34,
3906,6,34,14,
3929,6,14,0,3943
AverageTurnaroundTime: ,2704.3
