CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,596,556,
43,7,204,164,
86,2,222,182,
129,4,209,169,
172,8,308,268,
215,1,556,516,
258,8,268,228,
301,8,228,188,
344,1,516,476,
387,5,609,569,
430,8,188,148,
473,1,476,436,
516,5,569,529,
559,6,814,774,
602,8,148,108,
645,3,123,83,
688,4,169,129,
731,6,774,734,
774,7,164,124,
817,1,436,396,
860,1,396,356,
903,7,124,84,
946,6,734,694,
989,1,356,316,
1032,6,694,654,
1075,2,182,142,
1118,7,84,44,
1161,8,108,68,
1204,6,654,614,
1247,8,68,28,
1290,7,44,4,
1333,8,28,0,1361
1364,3,83,43,
1407,1,316,276,
1450,7,4,0,1454
1457,1,276,236,
1500,6,614,574,
1543,6,574,534,
1586,3,43,3,
1629,5,529,489,
1672,5,489,449,
1715,6,534,494,
1758,1,236,196,
1801,6,494,454,
1844,4,129,89,
1887,6,454,414,
1930,1,196,156,
1973,2,142,102,
2016,4,89,49,
2059,4,49,9,
2102,1,156,116,
2145,2,102,62,
2188,1,116,76,
2231,1,76,36,
2274,2,62,22,
2317,1,36,0,2353
2356,5,449,409,
2399,4,9,0,2408
2411,6,414,374,
2454,5,409,369,
2497,6,374,334,
2540,5,369,329,
2583,2,22,0,2605
2608,6,334,294,
2651,5,329,289,
2694,6,294,254,
2737,6,254,214,
2780,6,214,174,
2823,6,174,134,
2866,6,134,94,
2909,6,94,54,
2952,5,289,249,
2995,5,249,209,
3038,5,209,169,
3081,6,54,14,
3124,5,169,129,
3167,5,129,89,
3210,5,89,49,
3253,5,49,9,
3296,6,14,0,3310
3313,3,3,0,3316
3319,5,9,0,3328
3331,9,333,293,
3374,9,293,253,
3417,9,253,213,
3460,9,213,173,
3503,9,173,133,
3546,9,133,93,
3589,9,93,53,
3632,9,53,13,
3675,9,13,0,3688
AverageTurnaroundTime: ,2647.0
