CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,624,584,
43,2,488,448,
86,3,231,191,
129,4,337,297,
172,5,222,182,
215,6,130,90,
258,7,317,277,
301,8,439,399,
344,9,942,902,
387,1,584,544,
430,2,448,408,
473,3,191,151,
516,4,297,257,
559,5,182,142,
602,6,90,50,
645,7,277,237,
688,8,399,359,
731,9,902,862,
774,1,544,504,
817,2,408,368,
860,3,151,111,
903,4,257,217,
946,5,142,102,
989,6,50,10,
1032,7,237,197,
1075,8,359,319,
1118,9,862,822,
1161,1,504,464,
1204,2,368,328,
1247,3,111,71,
1290,4,217,177,
1333,5,102,62,
1376,6,10,0,1386
1389,7,197,157,
1432,8,319,279,
1475,9,822,782,
1518,1,464,424,
1561,2,328,288,
1604,3,71,31,
1647,4,177,137,
1690,5,62,22,
1733,7,157,117,
1776,8,279,239,
1819,9,782,742,
1862,1,424,384,
1905,2,288,248,
1948,3,31,0,1979
1982,4,137,97,
2025,5,22,0,2047
2050,7,117,77,
2093,8,239,199,
2136,9,742,702,
2179,1,384,344,
2222,2,248,208,
2265,4,97,57,
2308,7,77,37,
2351,8,199,159,
2394,9,702,662,
2437,1,344,304,
2480,2,208,168,
2523,4,57,17,
2566,7,37,0,2603
2606,8,159,119,
2649,9,662,622,
2692,1,304,264,
2735,2,168,128,
2778,4,17,0,2795
2798,8,119,79,
2841,9,622,582,
2884,1,264,224,
2927,2,128,88,
2970,8,79,39,
3013,9,582,542,
3056,1,224,184,
3099,2,88,48,
3142,8,39,0,3181
3184,9,542,502,
3227,1,184,144,
3270,2,48,8,
3313,9,502,462,
3356,1,144,104,
3399,2,8,0,3407
3410,9,462,422,
3453,1,104,64,
3496,9,422,382,
3539,1,64,24,
3582,9,382,342,
3625,1,24,0,3649
3652,9,342,302,
3695,9,302,262,
3738,9,262,222,
3781,9,222,182,
3824,9,182,142,
3867,9,142,102,
3910,9,102,62,
3953,9,62,22,
3996,9,22,0,4018
AverageTurnaroundTime: ,2785.0
