CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,585,545,
43,2,972,932,
86,3,992,952,
129,4,633,593,
172,5,827,787,
215,6,306,266,
258,7,422,382,
301,8,615,575,
344,9,695,655,
387,10,702,662,
430,11,942,902,
473,12,969,929,
516,13,955,915,
559,14,764,724,
602,15,589,549,
645,16,103,63,
688,17,364,324,
731,18,346,306,
774,19,271,231,
817,1,545,505,
860,2,932,892,
903,3,952,912,
946,4,593,553,
989,5,787,747,
1032,6,266,226,
1075,7,382,342,
1118,8,575,535,
1161,9,655,615,
1204,10,662,622,
1247,11,902,862,
1290,12,929,889,
1333,13,915,875,
1376,14,724,684,
1419,15,549,509,
1462,16,63,23,
1505,17,324,284,
1548,18,306,266,
1591,19,231,191,
1634,1,505,465,
1677,2,892,852,
1720,3,912,872,
1763,4,553,513,
1806,5,747,707,
1849,6,226,186,
1892,7,342,302,
1935,8,535,495,
1978,9,615,575,
2021,10,622,582,
2064,11,862,822,
2107,12,889,849,
2150,13,875,835,
2193,14,684,644,
2236,15,509,469,
2279,16,23,0,2302
2305,17,284,244,
2348,18,266,226,
2391,19,191,151,
2434,1,465,425,
2477,2,852,812,
2520,3,872,832,
2563,4,513,473,
2606,5,707,667,
2649,6,186,146,
2692,7,302,262,
2735,8,495,455,
2778,9,575,535,
2821,10,582,542,
2864,11,822,782,
2907,12,849,809,
2950,13,835,795,
2993,14,644,604,
3036,15,469,429,
3079,17,244,204,
3122,18,226,186,
3165,19,151,111,
3208,1,425,385,
3251,2,812,772,
3294,3,832,792,
3337,4,473,433,
3380,5,667,627,
3423,6,146,106,
3466,7,262,222,
3509,8,455,415,
3552,9,535,495,
3595,10,542,502,
3638,11,782,742,
3681,12,809,769,
3724,13,795,755,
3767,14,604,564,
3810,15,429,389,
3853,17,204,164,
3896,18,186,146,
3939,19,111,71,
3982,1,385,345,
4025,2,772,732,
4068,3,792,752,
4111,4,433,393,
4154,5,627,587,
4197,6,106,66,
4240,7,222,182,
4283,8,415,375,
4326,9,495,455,
4369,10,502,462,
4412,11,742,702,
4455,12,769,729,
4498,13,755,715,
4541,14,564,524,
4584,15,389,349,
4627,17,164,124,
4670,18,146,106,
4713,19,71,31,
4756,1,345,305,
4799,2,732,692,
4842,3,752,712,
4885,4,393,353,
4928,5,587,547,
4971,6,66,26,
5014,7,182,142,
5057,8,375,335,
5100,9,455,415,
5143,10,462,422,
5186,11,702,662,
5229,12,729,689,
5272,13,715,675,
5315,14,524,484,
5358,15,349,309,
5401,17,124,84,
5444,18,106,66,
5487,19,31,0,5518
5521,1,305,265,
5564,2,692,652,
5607,3,712,672,
5650,4,353,313,
5693,5,547,507,
5736,6,26,0,5762
5765,7,142,102,
5808,8,335,295,
5851,9,415,375,
5894,10,422,382,
5937,11,662,622,
5980,12,689,649,
6023,13,675,635,
6066,14,484,444,
6109,15,309,269,
6152,17,84,44,
6195,18,66,26,
6238,1,265,225,
6281,2,652,612,
6324,3,672,632,
6367,4,313,273,
6410,5,507,467,
6453,7,102,62,
6496,8,295,255,
6539,9,375,335,
6582,10,382,342,
6625,11,622,582,
6668,12,649,609,
6711,13,635,595,
6754,14,444,404,
6797,15,269,229,
6840,17,44,4,
6883,18,26,0,6909
6912,1,225,185,
6955,2,612,572,
6998,3,632,592,
7041,4,273,233,
7084,5,467,427,
7127,7,62,22,
7170,8,255,215,
7213,9,335,295,
7256,10,342,302,
7299,11,582,542,
7342,12,609,569,
7385,13,595,555,
7428,14,404,364,
7471,15,229,189,
7514,17,4,0,7518
7521,1,185,145,
7564,2,572,532,
7607,3,592,552,
7650,4,233,193,
7693,5,427,387,
7736,7,22,0,7758
7761,8,215,175,
7804,9,295,255,
7847,10,302,262,
7890,11,542,502,
7933,12,569,529,
7976,13,555,515,
8019,14,364,324,
8062,15,189,149,
8105,1,145,105,
8148,2,532,492,
8191,3,552,512,
8234,4,193,153,
8277,5,387,347,
8320,8,175,135,
8363,9,255,215,
8406,10,262,222,
8449,11,502,462,
8492,12,529,489,
8535,13,515,475,
8578,14,324,284,
8621,15,149,109,
8664,1,105,65,
8707,2,492,452,
8750,3,512,472,
8793,4,153,113,
8836,5,347,307,
8879,8,135,95,
8922,9,215,175,
8965,10,222,182,
9008,11,462,422,
9051,12,489,449,
9094,13,475,435,
9137,14,284,244,
9180,15,109,69,
9223,1,65,25,
9266,2,452,412,
9309,3,472,432,
9352,4,113,73,
9395,5,307,267,
9438,8,95,55,
9481,9,175,135,
9524,10,182,142,
9567,11,422,382,
9610,12,449,409,
9653,13,435,395,
9696,14,244,204,
9739,15,69,29,
9782,1,25,0,9807
9810,2,412,372,
9853,3,432,392,
9896,4,73,33,
9939,5,267,227,
9982,8,55,15,
10025,9,135,95,
10068,10,142,102,
10111,11,382,342,
10154,12,409,369,
10197,13,395,355,
10240,14,204,164,
10283,15,29,0,10312
10315,2,372,332,
10358,3,392,352,
10401,4,33,0,10434
10437,5,227,187,
10480,8,15,0,10495
10498,9,95,55,
10541,10,102,62,
10584,11,342,302,
10627,12,369,329,
10670,13,355,315,
10713,14,164,124,
10756,2,332,292,
10799,3,352,312,
10842,5,187,147,
10885,9,55,15,
10928,10,62,22,
10971,11,302,262,
11014,12,329,289,
11057,13,315,275,
11100,14,124,84,
11143,2,292,252,
11186,3,312,272,
11229,5,147,107,
11272,9,15,0,11287
11290,10,22,0,11312
11315,11,262,222,
11358,12,289,249,
11401,13,275,235,
11444,14,84,44,
11487,2,252,212,
11530,3,272,232,
11573,5,107,67,
11616,11,222,182,
11659,12,249,209,
11702,13,235,195,
11745,14,44,4,
11788,2,212,172,
11831,3,232,192,
11874,5,67,27,
11917,11,182,142,
11960,12,209,169,
12003,13,195,155,
12046,14,4,0,12050
12053,2,172,132,
12096,3,192,152,
12139,5,27,0,12166
12169,11,142,102,
12212,12,169,129,
12255,13,155,115,
12298,2,132,92,
12341,3,152,112,
12384,11,102,62,
12427,12,129,89,
12470,13,115,75,
12513,2,92,52,
12556,3,112,72,
12599,11,62,22,
12642,12,89,49,
12685,13,75,35,
12728,2,52,12,
12771,3,72,32,
12814,11,22,0,12836
12839,12,49,9,
12882,13,35,0,12917
12920,2,12,0,12932
12935,3,32,0,12967
12970,12,9,0,12979
AverageTurnaroundTime: ,9908.5
