CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,931,911,
23,2,991,971,
46,3,683,663,
69,4,404,384,
92,5,929,909,
115,6,760,740,
138,7,772,752,
161,8,210,190,
184,9,845,825,
207,10,573,553,
230,11,225,205,
253,12,874,854,
276,13,382,362,
299,14,524,504,
322,15,198,178,
345,16,867,847,
368,17,897,877,
391,18,30,10,
414,19,94,74,
437,20,423,403,
460,21,336,316,
483,22,799,779,
506,23,596,576,
529,24,680,660,
552,25,71,51,
575,26,754,734,
598,27,392,372,
621,1,911,891,
644,2,971,951,
667,3,663,643,
690,4,384,364,
713,5,909,889,
736,6,740,720,
759,7,752,732,
782,8,190,170,
805,9,825,805,
828,10,553,533,
851,11,205,185,
874,12,854,834,
897,13,362,342,
920,14,504,484,
943,15,178,158,
966,16,847,827,
989,17,877,857,
1012,18,10,0,1022
1025,19,74,54,
1048,20,403,383,
1071,21,316,296,
1094,22,779,759,
1117,23,576,556,
1140,24,660,640,
1163,25,51,31,
1186,26,734,714,
1209,27,372,352,
1232,1,891,871,
1255,2,951,931,
1278,3,643,623,
1301,4,364,344,
1324,5,889,869,
1347,6,720,700,
1370,7,732,712,
1393,8,170,150,
1416,9,805,785,
1439,10,533,513,
1462,11,185,165,
1485,12,834,814,
1508,13,342,322,
1531,14,484,464,
1554,15,158,138,
1577,16,827,807,
1600,17,857,837,
1623,19,54,34,
1646,20,383,363,
1669,21,296,276,
1692,22,759,739,
1715,23,556,536,
1738,24,640,620,
1761,25,31,11,
1784,26,714,694,
1807,27,352,332,
1830,1,871,851,
1853,2,931,911,
1876,3,623,603,
1899,4,344,324,
1922,5,869,849,
1945,6,700,680,
1968,7,712,692,
1991,8,150,130,
2014,9,785,765,
2037,10,513,493,
2060,11,165,145,
2083,12,814,794,
2106,13,322,302,
2129,14,464,444,
2152,15,138,118,
2175,16,807,787,
2198,17,837,817,
2221,19,34,14,
2244,20,363,343,
2267,21,276,256,
2290,22,739,719,
2313,23,536,516,
2336,24,620,600,
2359,25,11,0,2370
2373,26,694,674,
2396,27,332,312,
2419,1,851,831,
2442,2,911,891,
2465,3,603,583,
2488,4,324,304,
2511,5,849,829,
2534,6,680,660,
2557,7,692,672,
2580,8,130,110,
2603,9,765,745,
2626,10,493,473,
2649,11,145,125,
2672,12,794,774,
2695,13,302,282,
2718,14,444,424,
2741,15,118,98,
2764,16,787,767,
2787,17,817,797,
2810,19,14,0,2824
2827,20,343,323,
2850,21,256,236,
2873,22,719,699,
2896,23,516,496,
2919,24,600,580,
2942,26,674,654,
2965,27,312,292,
2988,1,831,811,
3011,2,891,871,
3034,3,583,563,
3057,4,304,284,
3080,5,829,809,
3103,6,660,640,
3126,7,672,652,
3149,8,110,90,
3172,9,745,725,
3195,10,473,453,
3218,11,125,105,
3241,12,774,754,
3264,13,282,262,
3287,14,424,404,
3310,15,98,78,
3333,16,767,747,
3356,17,797,777,
3379,20,323,303,
3402,21,236,216,
3425,22,699,679,
3448,23,496,476,
3471,24,580,560,
3494,26,654,634,
3517,27,292,272,
3540,1,811,791,
3563,2,871,851,
3586,3,563,543,
3609,4,284,264,
3632,5,809,789,
3655,6,640,620,
3678,7,652,632,
3701,8,90,70,
3724,9,725,705,
3747,10,453,433,
3770,11,105,85,
3793,12,754,734,
3816,13,262,242,
3839,14,404,384,
3862,15,78,58,
3885,16,747,727,
3908,17,777,757,
3931,20,303,283,
3954,21,216,196,
3977,22,679,659,
4000,23,476,456,
4023,24,560,540,
4046,26,634,614,
4069,27,272,252,
4092,1,791,771,
4115,2,851,831,
4138,3,543,523,
4161,4,264,244,
4184,5,789,769,
4207,6,620,600,
4230,7,632,612,
4253,8,70,50,
4276,9,705,685,
4299,10,433,413,
4322,11,85,65,
4345,12,734,714,
4368,13,242,222,
4391,14,384,364,
4414,15,58,38,
4437,16,727,707,
4460,17,757,737,
4483,20,283,263,
4506,21,196,176,
4529,22,659,639,
4552,23,456,436,
4575,24,540,520,
4598,26,614,594,
4621,27,252,232,
4644,1,771,751,
4667,2,831,811,
4690,3,523,503,
4713,4,244,224,
4736,5,769,749,
4759,6,600,580,
4782,7,612,592,
4805,8,50,30,
4828,9,685,665,
4851,10,413,393,
4874,11,65,45,
4897,12,714,694,
4920,13,222,202,
4943,14,364,344,
4966,15,38,18,
4989,16,707,687,
5012,17,737,717,
5035,20,263,243,
5058,21,176,156,
5081,22,639,619,
5104,23,436,416,
5127,24,520,500,
5150,26,594,574,
5173,27,232,212,
5196,1,751,731,
5219,2,811,791,
5242,3,503,483,
5265,4,224,204,
5288,5,749,729,
5311,6,580,560,
5334,7,592,572,
5357,8,30,10,
5380,9,665,645,
5403,10,393,373,
5426,11,45,25,
5449,12,694,674,
5472,13,202,182,
5495,14,344,324,
5518,15,18,0,5536
5539,16,687,667,
5562,17,717,697,
5585,20,243,223,
5608,21,156,136,
5631,22,619,599,
5654,23,416,396,
5677,24,500,480,
5700,26,574,554,
5723,27,212,192,
5746,1,731,711,
5769,2,791,771,
5792,3,483,463,
5815,4,204,184,
5838,5,729,709,
5861,6,560,540,
5884,7,572,552,
5907,8,10,0,5917
5920,9,645,625,
5943,10,373,353,
5966,11,25,5,
5989,12,674,654,
6012,13,182,162,
6035,14,324,304,
6058,16,667,647,
6081,17,697,677,
6104,20,223,203,
6127,21,136,116,
6150,22,599,579,
6173,23,396,376,
6196,24,480,460,
6219,26,554,534,
6242,27,192,172,
6265,1,711,691,
6288,2,771,751,
6311,3,463,443,
6334,4,184,164,
6357,5,709,689,
6380,6,540,520,
6403,7,552,532,
6426,9,625,605,
6449,10,353,333,
6472,11,5,0,6477
6480,12,654,634,
6503,13,162,142,
6526,14,304,284,
6549,16,647,627,
6572,17,677,657,
6595,20,203,183,
6618,21,116,96,
6641,22,579,559,
6664,23,376,356,
6687,24,460,440,
6710,26,534,514,
6733,27,172,152,
6756,1,691,671,
6779,2,751,731,
6802,3,443,423,
6825,4,164,144,
6848,5,689,669,
6871,6,520,500,
6894,7,532,512,
6917,9,605,585,
6940,10,333,313,
6963,12,634,614,
6986,13,142,122,
7009,14,284,264,
7032,16,627,607,
7055,17,657,637,
7078,20,183,163,
7101,21,96,76,
7124,22,559,539,
7147,23,356,336,
7170,24,440,420,
7193,26,514,494,
7216,27,152,132,
7239,1,671,651,
7262,2,731,711,
7285,3,423,403,
7308,4,144,124,
7331,5,669,649,
7354,6,500,480,
7377,7,512,492,
7400,9,585,565,
7423,10,313,293,
7446,12,614,594,
7469,13,122,102,
7492,14,264,244,
7515,16,607,587,
7538,17,637,617,
7561,20,163,143,
7584,21,76,56,
7607,22,539,519,
7630,23,336,316,
7653,24,420,400,
7676,26,494,474,
7699,27,132,112,
7722,1,651,631,
7745,2,711,691,
7768,3,403,383,
7791,4,124,104,
7814,5,649,629,
7837,6,480,460,
7860,7,492,472,
7883,9,565,545,
7906,10,293,273,
7929,12,594,574,
7952,13,102,82,
7975,14,244,224,
7998,16,587,567,
8021,17,617,597,
8044,20,143,123,
8067,21,56,36,
8090,22,519,499,
8113,23,316,296,
8136,24,400,380,
8159,26,474,454,
8182,27,112,92,
8205,1,631,611,
8228,2,691,671,
8251,3,383,363,
8274,4,104,84,
8297,5,629,609,
8320,6,460,440,
8343,7,472,452,
8366,9,545,525,
8389,10,273,253,
8412,12,574,554,
8435,13,82,62,
8458,14,224,204,
8481,16,567,547,
8504,17,597,577,
8527,20,123,103,
8550,21,36,16,
8573,22,499,479,
8596,23,296,276,
8619,24,380,360,
8642,26,454,434,
8665,27,92,72,
8688,1,611,591,
8711,2,671,651,
8734,3,363,343,
8757,4,84,64,
8780,5,609,589,
8803,6,440,420,
8826,7,452,432,
8849,9,525,505,
8872,10,253,233,
8895,12,554,534,
8918,13,62,42,
8941,14,204,184,
8964,16,547,527,
8987,17,577,557,
9010,20,103,83,
9033,21,16,0,9049
9052,22,479,459,
9075,23,276,256,
9098,24,360,340,
9121,26,434,414,
9144,27,72,52,
9167,1,591,571,
9190,2,651,631,
9213,3,343,323,
9236,4,64,44,
9259,5,589,569,
9282,6,420,400,
9305,7,432,412,
9328,9,505,485,
9351,10,233,213,
9374,12,534,514,
9397,13,42,22,
9420,14,184,164,
9443,16,527,507,
9466,17,557,537,
9489,20,83,63,
9512,22,459,439,
9535,23,256,236,
9558,24,340,320,
9581,26,414,394,
9604,27,52,32,
9627,1,571,551,
9650,2,631,611,
9673,3,323,303,
9696,4,44,24,
9719,5,569,549,
9742,6,400,380,
9765,7,412,392,
9788,9,485,465,
9811,10,213,193,
9834,12,514,494,
9857,13,22,2,
9880,14,164,144,
9903,16,507,487,
9926,17,537,517,
9949,20,63,43,
9972,22,439,419,
9995,23,236,216,
10018,24,320,300,
10041,26,394,374,
10064,27,32,12,
10087,1,551,531,
10110,2,611,591,
10133,3,303,283,
10156,4,24,4,
10179,5,549,529,
10202,6,380,360,
10225,7,392,372,
10248,9,465,445,
10271,10,193,173,
10294,12,494,474,
10317,13,2,0,10319
10322,14,144,124,
10345,16,487,467,
10368,17,517,497,
10391,20,43,23,
10414,22,419,399,
10437,23,216,196,
10460,24,300,280,
10483,26,374,354,
10506,27,12,0,10518
10521,1,531,511,
10544,2,591,571,
10567,3,283,263,
10590,4,4,0,10594
10597,5,529,509,
10620,6,360,340,
10643,7,372,352,
10666,9,445,425,
10689,10,173,153,
10712,12,474,454,
10735,14,124,104,
10758,16,467,447,
10781,17,497,477,
10804,20,23,3,
10827,22,399,379,
10850,23,196,176,
10873,24,280,260,
10896,26,354,334,
10919,1,511,491,
10942,2,571,551,
10965,3,263,243,
10988,5,509,489,
11011,6,340,320,
11034,7,352,332,
11057,9,425,405,
11080,10,153,133,
11103,12,454,434,
11126,14,104,84,
11149,16,447,427,
11172,17,477,457,
11195,20,3,0,11198
11201,22,379,359,
11224,23,176,156,
11247,24,260,240,
11270,26,334,314,
11293,1,491,471,
11316,2,551,531,
11339,3,243,223,
11362,5,489,469,
11385,6,320,300,
11408,7,332,312,
11431,9,405,385,
11454,10,133,113,
11477,12,434,414,
11500,14,84,64,
11523,16,427,407,
11546,17,457,437,
11569,22,359,339,
11592,23,156,136,
11615,24,240,220,
11638,26,314,294,
11661,1,471,451,
11684,2,531,511,
11707,3,223,203,
11730,5,469,449,
11753,6,300,280,
11776,7,312,292,
11799,9,385,365,
11822,10,113,93,
11845,12,414,394,
