CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,931,891,
43,2,991,951,
86,3,683,643,
129,4,404,364,
172,5,929,889,
215,6,760,720,
258,7,772,732,
301,8,210,170,
344,9,845,805,
387,10,573,533,
430,11,225,185,
473,12,874,834,
516,13,382,342,
559,14,524,484,
602,15,198,158,
645,16,867,827,
688,17,897,857,
731,18,30,0,761
764,19,94,54,
807,20,423,383,
850,21,336,296,
893,22,799,759,
936,23,596,556,
979,24,680,640,
1022,25,71,31,
1065,26,754,714,
1108,27,392,352,
1151,1,891,851,
1194,2,951,911,
1237,3,643,603,
1280,4,364,324,
1323,5,889,849,
1366,6,720,680,
1409,7,732,692,
1452,8,170,130,
1495,9,805,765,
1538,10,533,493,
1581,11,185,145,
1624,12,834,794,
1667,13,342,302,
1710,14,484,444,
1753,15,158,118,
1796,16,827,787,
1839,17,857,817,
1882,19,54,14,
1925,20,383,343,
1968,21,296,256,
2011,22,759,719,
2054,23,556,516,
2097,24,640,600,
2140,25,31,0,2171
2174,26,714,674,
2217,27,352,312,
2260,1,851,811,
2303,2,911,871,
2346,3,603,563,
2389,4,324,284,
2432,5,849,809,
2475,6,680,640,
2518,7,692,652,
2561,8,130,90,
2604,9,765,725,
2647,10,493,453,
2690,11,145,105,
2733,12,794,754,
2776,13,302,262,
2819,14,444,404,
2862,15,118,78,
2905,16,787,747,
2948,17,817,777,
2991,19,14,0,3005
3008,20,343,303,
3051,21,256,216,
3094,22,719,679,
3137,23,516,476,
3180,24,600,560,
3223,26,674,634,
3266,27,312,272,
3309,1,811,771,
3352,2,871,831,
3395,3,563,523,
3438,4,284,244,
3481,5,809,769,
3524,6,640,600,
3567,7,652,612,
3610,8,90,50,
3653,9,725,685,
3696,10,453,413,
3739,11,105,65,
3782,12,754,714,
3825,13,262,222,
3868,14,404,364,
3911,15,78,38,
3954,16,747,707,
3997,17,777,737,
4040,20,303,263,
4083,21,216,176,
4126,22,679,639,
4169,23,476,436,
4212,24,560,520,
4255,26,634,594,
4298,27,272,232,
4341,1,771,731,
4384,2,831,791,
4427,3,523,483,
4470,4,244,204,
4513,5,769,729,
4556,6,600,560,
4599,7,612,572,
4642,8,50,10,
4685,9,685,645,
4728,10,413,373,
4771,11,65,25,
4814,12,714,674,
4857,13,222,182,
4900,14,364,324,
4943,15,38,0,4981
4984,16,707,667,
5027,17,737,697,
5070,20,263,223,
5113,21,176,136,
5156,22,639,599,
5199,23,436,396,
5242,24,520,480,
5285,26,594,554,
5328,27,232,192,
5371,1,731,691,
5414,2,791,751,
5457,3,483,443,
5500,4,204,164,
5543,5,729,689,
5586,6,560,520,
5629,7,572,532,
5672,8,10,0,5682
5685,9,645,605,
5728,10,373,333,
5771,11,25,0,5796
5799,12,674,634,
5842,13,182,142,
5885,14,324,284,
5928,16,667,627,
5971,17,697,657,
6014,20,223,183,
6057,21,136,96,
6100,22,599,559,
6143,23,396,356,
6186,24,480,440,
6229,26,554,514,
6272,27,192,152,
6315,1,691,651,
6358,2,751,711,
6401,3,443,403,
6444,4,164,124,
6487,5,689,649,
6530,6,520,480,
6573,7,532,492,
6616,9,605,565,
6659,10,333,293,
6702,12,634,594,
6745,13,142,102,
6788,14,284,244,
6831,16,627,587,
6874,17,657,617,
6917,20,183,143,
6960,21,96,56,
7003,22,559,519,
7046,23,356,316,
7089,24,440,400,
7132,26,514,474,
7175,27,152,112,
7218,1,651,611,
7261,2,711,671,
7304,3,403,363,
7347,4,124,84,
7390,5,649,609,
7433,6,480,440,
7476,7,492,452,
7519,9,565,525,
7562,10,293,253,
7605,12,594,554,
7648,13,102,62,
7691,14,244,204,
7734,16,587,547,
7777,17,617,577,
7820,20,143,103,
7863,21,56,16,
7906,22,519,479,
7949,23,316,276,
7992,24,400,360,
8035,26,474,434,
8078,27,112,72,
8121,1,611,571,
8164,2,671,631,
8207,3,363,323,
8250,4,84,44,
8293,5,609,569,
8336,6,440,400,
8379,7,452,412,
8422,9,525,485,
8465,10,253,213,
8508,12,554,514,
8551,13,62,22,
8594,14,204,164,
8637,16,547,507,
8680,17,577,537,
8723,20,103,63,
8766,21,16,0,8782
8785,22,479,439,
8828,23,276,236,
8871,24,360,320,
8914,26,434,394,
8957,27,72,32,
9000,1,571,531,
9043,2,631,591,
9086,3,323,283,
9129,4,44,4,
9172,5,569,529,
9215,6,400,360,
9258,7,412,372,
9301,9,485,445,
9344,10,213,173,
9387,12,514,474,
9430,13,22,0,9452
9455,14,164,124,
9498,16,507,467,
9541,17,537,497,
9584,20,63,23,
9627,22,439,399,
9670,23,236,196,
9713,24,320,280,
9756,26,394,354,
9799,27,32,0,9831
9834,1,531,491,
9877,2,591,551,
9920,3,283,243,
9963,4,4,0,9967
9970,5,529,489,
10013,6,360,320,
10056,7,372,332,
10099,9,445,405,
10142,10,173,133,
10185,12,474,434,
10228,14,124,84,
10271,16,467,427,
10314,17,497,457,
10357,20,23,0,10380
10383,22,399,359,
10426,23,196,156,
10469,24,280,240,
10512,26,354,314,
10555,1,491,451,
10598,2,551,511,
10641,3,243,203,
10684,5,489,449,
10727,6,320,280,
10770,7,332,292,
10813,9,405,365,
10856,10,133,93,
10899,12,434,394,
10942,14,84,44,
10985,16,427,387,
11028,17,457,417,
11071,22,359,319,
11114,23,156,116,
11157,24,240,200,
11200,26,314,274,
11243,1,451,411,
11286,2,511,471,
11329,3,203,163,
11372,5,449,409,
11415,6,280,240,
11458,7,292,252,
11501,9,365,325,
11544,10,93,53,
11587,12,394,354,
11630,14,44,4,
11673,16,387,347,
11716,17,417,377,
11759,22,319,279,
11802,23,116,76,
11845,24,200,160,
11888,26,274,234,
11931,1,411,371,
11974,2,471,431,
12017,3,163,123,
12060,5,409,369,
12103,6,240,200,
12146,7,252,212,
12189,9,325,285,
12232,10,53,13,
12275,12,354,314,
12318,14,4,0,12322
12325,16,347,307,
12368,17,377,337,
12411,22,279,239,
12454,23,76,36,
12497,24,160,120,
12540,26,234,194,
12583,1,371,331,
12626,2,431,391,
12669,3,123,83,
12712,5,369,329,
12755,6,200,160,
12798,7,212,172,
12841,9,285,245,
12884,10,13,0,12897
12900,12,314,274,
12943,16,307,267,
12986,17,337,297,
13029,22,239,199,
13072,23,36,0,13108
13111,24,120,80,
13154,26,194,154,
13197,1,331,291,
13240,2,391,351,
13283,3,83,43,
13326,5,329,289,
13369,6,160,120,
13412,7,172,132,
13455,9,245,205,
13498,12,274,234,
13541,16,267,227,
13584,17,297,257,
13627,22,199,159,
13670,24,80,40,
13713,26,154,114,
13756,1,291,251,
13799,2,351,311,
13842,3,43,3,
13885,5,289,249,
13928,6,120,80,
13971,7,132,92,
14014,9,205,165,
14057,12,234,194,
14100,16,227,187,
14143,17,257,217,
14186,22,159,119,
14229,24,40,0,14269
14272,26,114,74,
14315,1,251,211,
14358,2,311,271,
14401,3,3,0,14404
14407,5,249,209,
14450,6,80,40,
14493,7,92,52,
14536,9,165,125,
14579,12,194,154,
14622,16,187,147,
14665,17,217,177,
14708,22,119,79,
14751,26,74,34,
14794,1,211,171,
14837,2,271,231,
14880,5,209,169,
14923,6,40,0,14963
14966,7,52,12,
15009,9,125,85,
15052,12,154,114,
15095,16,147,107,
15138,17,177,137,
15181,22,79,39,
15224,26,34,0,15258
15261,1,171,131,
15304,2,231,191,
15347,5,169,129,
15390,7,12,0,15402
15405,9,85,45,
15448,12,114,74,
15491,16,107,67,
15534,17,137,97,
15577,22,39,0,15616
15619,1,131,91,
15662,2,191,151,
15705,5,129,89,
15748,9,45,5,
15791,12,74,34,
15834,16,67,27,
15877,17,97,57,
15920,1,91,51,
15963,2,151,111,
16006,5,89,49,
16049,9,5,0,16054
16057,12,34,0,16091
16094,16,27,0,16121
16124,17,57,17,
16167,1,51,11,
16210,2,111,71,
16253,5,49,9,
16296,17,17,0,16313
16316,1,11,0,16327
16330,2,71,31,
16373,5,9,0,16382
16385,2,31,0,16416
AverageTurnaroundTime: ,11583.4
