CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,2,488,448,
43,2,448,408,
86,7,317,277,
129,6,130,90,
172,6,90,50,
215,2,408,368,
258,5,222,182,
301,6,50,10,
344,4,337,297,
387,3,231,191,
430,7,277,237,
473,6,10,0,483
486,2,368,328,
529,9,942,902,
572,7,237,197,
615,9,902,862,
658,8,439,399,
701,3,191,151,
744,3,151,111,
787,9,862,822,
830,3,111,71,
873,8,399,359,
916,8,359,319,
959,2,328,288,
1002,3,71,31,
1045,8,319,279,
1088,4,297,257,
1131,2,288,248,
1174,7,197,157,
1217,2,248,208,
1260,8,279,239,
1303,9,822,782,
1346,7,157,117,
1389,3,31,0,1420
1423,2,208,168,
1466,8,239,199,
1509,7,117,77,
1552,2,168,128,
1595,7,77,37,
1638,8,199,159,
1681,9,782,742,
1724,8,159,119,
1767,9,742,702,
1810,2,128,88,
1853,4,257,217,
1896,4,217,177,
1939,5,182,142,
1982,7,37,0,2019
2022,4,177,137,
2065,5,142,102,
2108,2,88,48,
2151,2,48,8,
2194,2,8,0,2202
2205,9,702,662,
2248,5,102,62,
2291,4,137,97,
2334,1,624,584,
2377,9,662,622,
2420,8,119,79,
2463,9,622,582,
2506,4,97,57,
2549,4,57,17,
2592,8,79,39,
2635,4,17,0,2652
2655,9,582,542,
2698,8,39,0,2737
2740,9,542,502,
2783,1,584,544,
2826,9,502,462,
2869,9,462,422,
2912,5,62,22,
2955,9,422,382,
2998,9,382,342,
3041,1,544,504,
3084,9,342,302,
3127,5,22,0,3149
3152,9,302,262,
3195,9,262,222,
3238,9,222,182,
3281,9,182,142,
3324,9,142,102,
3367,9,102,62,
3410,9,62,22,
3453,9,22,0,3475
3478,1,504,464,
3521,1,464,424,
3564,1,424,384,
3607,1,384,344,
3650,1,344,304,
3693,1,304,264,
3736,1,264,224,
3779,1,224,184,
3822,1,184,144,
3865,1,144,104,
3908,1,104,64,
3951,1,64,24,
3994,1,24,0,4018
AverageTurnaroundTime: ,2461.7
