CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
13288,5,769,729,
13331,3,3,0,13334
13337,4,4,0,13341
13344,7,492,452,
13387,7,452,412,
13430,14,364,324,
13473,26,434,394,
13516,26,394,354,
13559,14,324,284,
13602,26,354,314,
13645,14,284,244,
13688,5,729,689,
13731,26,314,274,
13774,7,412,372,
13817,14,244,204,
13860,14,204,164,
13903,17,817,777,
13946,7,372,332,
13989,5,689,649,
14032,7,332,292,
14075,19,14,0,14089
14092,14,164,124,
14135,7,292,252,
14178,26,274,234,
14221,26,234,194,
14264,14,124,84,
14307,14,84,44,
14350,26,194,154,
14393,5,649,609,
14436,5,609,569,
14479,17,777,737,
14522,7,252,212,
14565,5,569,529,
14608,26,154,114,
14651,14,44,4,
14694,14,4,0,14698
14701,5,529,489,
14744,17,737,697,
14787,17,697,657,
14830,26,114,74,
14873,5,489,449,
14916,26,74,34,
14959,5,449,409,
15002,7,212,172,
15045,5,409,369,
15088,26,34,0,15122
15125,5,369,329,
15168,7,172,132,
15211,7,132,92,
15254,7,92,52,
15297,5,329,289,
15340,7,52,12,
15383,17,657,617,
15426,7,12,0,15438
15441,5,289,249,
15484,17,617,577,
15527,5,249,209,
15570,17,577,537,
15613,17,537,497,
15656,5,209,169,
15699,17,497,457,
15742,5,169,129,
15785,5,129,89,
15828,17,457,417,
15871,5,89,49,
15914,5,49,9,
15957,17,417,377,
16000,17,377,337,
16043,5,9,0,16052
16055,17,337,297,
16098,17,297,257,
16141,17,257,217,
16184,17,217,177,
16227,17,177,137,
16270,17,137,97,
16313,17,97,57,
16356,17,57,17,
16399,17,17,0,16416
AverageTurnaroundTime: ,9969.2
